m,x,y,z,vx,vy,vz
0.0,67323748273.4346,-321105477831.69495,3854299764.00773,13050.456527859378,16588.15502464845,805.1357293961399
0.0,91019913176.07637,-285913561914.1253,5331347134.271451,12478.498976258848,19061.274556295848,773.2548049753439
0.0,97849884503.45605,-274476074704.65405,5755755814.128965,12227.602813682994,19878.762728839294,758.7486876293949
0.0,77383164630.20514,-306894073861.69354,4480427936.390238,12854.932366889838,17579.066356123272,794.5607837787568
0.0,-57567926874.81099,-445369353777.7318,-3653667091.6571007,13028.07359501574,8216.097097336296,764.2353311702029
0.0,115035224291.41507,-242043756553.91425,6820666636.342785,11318.671868028216,22237.01898379222,705.0929120421281
0.0,72133164961.10216,-314430300563.3429,4153396875.4437013,12964.413797463661,17052.206679510327,800.5441963093181
0.0,87983366550.08707,-290782226190.39575,5142018075.416878,12575.384392533462,18715.409188846,778.808278060001
0.0,68158244030.56146,-319962207559.65344,3906163377.8123503,13036.434933917126,16667.46031998115,804.396332624217
0.0,151916763033.33557,-119113521573.39998,6976528088.678611,4399.6946870895,31348.945650917994,219.2799977592693
0.0,97403157683.19458,-275246134043.8956,5728059906.883143,12245.555289551134,19823.48458768541,759.7934862253821
0.0,87067159127.50706,-292227218661.4385,5084837775.235084,12603.027587208415,18612.978052876555,780.3859681363944
0.0,84868784564.06308,-295651637767.79553,4947589823.031172,12666.501011233911,18370.62955252631,783.9972519188356
0.0,44717767827.53627,-349789987168.0939,2451242357.890377,13315.700941140944,14616.702897612902,816.747028704421
0.0,144569257990.18225,-161365541120.7328,8634573223.635881,7479.318111501701,28242.322361843366,473.6517503397421
0.0,102556740796.09338,-266160399226.66412,6047462016.950994,12023.518806822649,20477.956194341125,746.8348655023121
0.0,104442998805.94966,-262719174256.9082,6164364989.993048,11933.426885499695,20727.098676625414,741.5510263858306
0.0,154460467660.54028,-57780898966.75289,9191902871.833582,-2267.1960874088236,35042.75326048035,-110.17426857206506
0.0,70661348355.65976,-316495538987.68677,4061816803.614163,12992.116264278393,16908.371313834097,802.0346157496124
0.0,94479702235.78964,-280208001759.1404,5546580541.383026,12357.507471039442,19468.14702279573,766.2784841253529
0.0,101343917597.27792,-268339341791.34546,5972335152.896483,12078.83349150352,20320.554457622147,750.0771957920466
0.0,64141039335.83839,-325410367806.2581,3656614942.001678,13100.638290786106,16290.177791393875,807.7582993223508
0.0,153515312874.2594,-110963685689.66829,9164104516.87206,3564.329544847702,31854.825661721577,237.94392335429782
0.0,73324571124.6189,-312743638642.4923,4227562335.9797387,12941.060657110887,17169.850789029202,799.2800126515313
0.0,68218379588.16016,-319879663129.49176,3909902011.9191318,13035.408460359047,16673.190246868264,804.3418981658295
0.0,120109374571.89262,-231156934865.92596,7134726177.180445,10941.438184376584,23039.972772273446,682.5217014959848
0.0,114948368863.20532,-242223890313.12817,6815277640.797463,11324.59290326502,22223.775357385814,705.4450163467251
0.0,108795080216.34157,-254519077241.1698,6434074832.794336,11704.96106368284,21323.387368845324,728.070170455436
0.0,65036342605.98675,-324208084640.1283,3712206045.658212,13087.039112945144,16373.295347511956,807.0514788853251
0.0,82618520857.93736,-299096780682.0393,4807082822.159058,12727.488083703767,18127.38158514283,787.445335143551
0.0,73889001286.80748,-311939851263.6855,4262706561.3686895,12929.699252114466,17225.970224455825,798.6630470213667
0.0,95733869147.62561,85719179186.12927,5572726349.479874,-27620.777627516756,30329.824155502454,-1569.9987362703723
