6.615596409088145835e-01 8.514982945191056363e-01 2.460636917688950896e+06 2.713656089379325635e+02 1.343613246855194063e+02 3.408216959385756528e+00
6.615400216606425188e-01 8.515011431932661967e-01 2.460636917473510839e+06 2.713656173761144714e+02 1.343614063540154859e+02 3.408143243137222722e+00
6.615567080150737134e-01 8.514986792337700949e-01 2.460636917652600911e+06 2.713656073769255954e+02 1.343613322864194117e+02 3.408205017174855467e+00
6.615514510901303602e-01 8.514994275651264211e-01 2.460636917595776264e+06 2.713656122000713253e+02 1.343613508362058155e+02 3.408184901774167663e+00
6.615643002218254409e-01 8.514975721750938087e-01 2.460636917738424148e+06 2.713656112721897102e+02 1.343612949731560491e+02 3.408233606215674172e+00
6.615480968055298394e-01 8.514999231912312450e-01 2.460636917562409304e+06 2.713656256710270327e+02 1.343613566733625930e+02 3.408176405445654922e+00
6.615463341963324639e-01 8.515002092044403614e-01 2.460636917537900619e+06 2.713656016828292650e+02 1.343613873742513647e+02 3.408165594993005865e+00
6.615510941892505103e-01 8.514995059128995791e-01 2.460636917588682845e+06 2.713655997644285662e+02 1.343613648208446421e+02 3.408183475474277468e+00
6.615596254551087130e-01 8.514982505574540950e-01 2.460636917690133676e+06 2.713656189652507464e+02 1.343613112815092165e+02 3.408217062813997167e+00
6.615542622376665571e-01 8.514990307231774525e-01 2.460636917624914087e+06 2.713655991047296538e+02 1.343613508482239070e+02 3.408193516660203315e+00
6.615518406137885776e-01 8.514993743455532282e-01 2.460636917602807749e+06 2.713656153049969930e+02 1.343613488152076911e+02 3.408187605985063318e+00
6.615601404926255702e-01 8.514981600831248443e-01 2.460636917688638903e+06 2.713656033474281344e+02 1.343613171322831477e+02 3.408217402175949928e+00
6.615469548436714309e-01 8.515001261306206493e-01 2.460636917548398953e+06 2.713656190216174764e+02 1.343613705103067844e+02 3.408170840878426588e+00
6.615577461214185995e-01 8.514985678539250813e-01 2.460636917662014719e+06 2.713655932943992752e+02 1.343613435755850958e+02 3.408207622338191634e+00
6.615626498663654820e-01 8.514978655762008852e-01 2.460636917720858473e+06 2.713655929810948351e+02 1.343613266689607997e+02 3.408225622840066027e+00
6.615602976281170777e-01 8.514981401274772654e-01 2.460636917692997493e+06 2.713656111571228848e+02 1.343613110833641429e+02 3.408219709393058405e+00
6.615678900372640170e-01 8.514969880137259750e-01 2.460636917783792131e+06 2.713656218053958469e+02 1.343612671259136846e+02 3.408246451232091800e+00
6.615485793551969529e-01 8.514998275728942190e-01 2.460636917569629382e+06 2.713656258501232514e+02 1.343613537240822495e+02 3.408174933880368407e+00
6.615553377222692655e-01 8.514988574635258267e-01 2.460636917639041319e+06 2.713656063851850604e+02 1.343613389210252365e+02 3.408199492607434156e+00
6.615473085234990780e-01 8.515000856417664910e-01 2.460636917552138213e+06 2.713656158471865183e+02 1.343613735871250299e+02 3.408170794838634610e+00
6.615532219452783247e-01 8.514992194014444626e-01 2.460636917617688421e+06 2.713656152608832599e+02 1.343613462348697567e+02 3.408193727458309397e+00
6.615603522017549087e-01 8.514982019072868669e-01 2.460636917694296222e+06 2.713655974556268689e+02 1.343613316519810326e+02 3.408219146333536731e+00
6.615406563261545525e-01 8.515010185537581489e-01 2.460636917481674813e+06 2.713656241937902109e+02 1.343613944513185459e+02 3.408145825763079895e+00
6.615609981828587394e-01 8.514980160260361419e-01 2.460636917699972168e+06 2.713656129418600926e+02 1.343613034970944966e+02 3.408221514517641548e+00
6.615523132625902303e-01 8.514993798289619553e-01 2.460636917609112803e+06 2.713656119390151957e+02 1.343613574773397943e+02 3.408188852423198689e+00
6.615454418740377429e-01 8.515003237248660595e-01 2.460636917533298489e+06 2.713656230166375281e+02 1.343613727543910272e+02 3.408163011666629938e+00
6.615499097967590947e-01 8.514997086752585931e-01 2.460636917582961265e+06 2.713656178093556832e+02 1.343613613118290857e+02 3.408180550180789137e+00
6.615649686267991436e-01 8.514974473474771210e-01 2.460636917745197192e+06 2.713656062945967165e+02 1.343612938482793027e+02 3.408234883079975130e+00
6.615600454710077738e-01 8.514981731418206357e-01 2.460636917690624017e+06 2.713656095106549060e+02 1.343613143047254539e+02 3.408217126822683962e+00
6.615639385516742799e-01 8.514976487459687826e-01 2.460636917734255549e+06 2.713655993710812027e+02 1.343613106923719727e+02 3.408231877271441945e+00
6.615509962096155494e-01 8.514995648364105385e-01 2.460636917591293808e+06 2.713656080383244671e+02 1.343613644017809747e+02 3.408184729727848250e+00
6.615447192029253465e-01 8.515004260691015903e-01 2.460636917522253934e+06 2.713656153000754898e+02 1.343613812313727749e+02 3.408159574459730834e+00
6.615685345369020087e-01 8.514969468485269477e-01 2.460636917785131373e+06 2.713656075367368885e+02 1.343612783782118356e+02 3.408249823305039783e+00
6.615557438509395149e-01 8.514987733656435021e-01 2.460636917639663443e+06 2.713656035476366810e+02 1.343613341606684344e+02 3.408200479831808849e+00
6.615553979815067542e-01 8.514988773816128953e-01 2.460636917647200637e+06 2.713656296687378244e+02 1.343613245157509084e+02 3.408202876748510857e+00
6.615702044774168789e-01 8.514967678732666689e-01 2.460636917804202065e+06 2.713655992099517675e+02 1.343612856528870623e+02 3.408254695199748330e+00
6.615472592609911162e-01 8.515000115780066992e-01 2.460636917549497448e+06 2.713656224684951326e+02 1.343613577003809496e+02 3.408170695275552831e+00
6.615645350673209357e-01 8.514975120366107264e-01 2.460636917741739191e+06 2.713656137219109610e+02 1.343612898348694671e+02 3.408234928217707349e+00
